City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Luena,AO,2020-07-08 14:30:07,-11.78,19.92,80.6,61,0,3.0
70,Vestmannaeyjar,IS,2020-07-08 14:30:28,63.44,-20.27,51.8,71,75,16.11
71,Ushuaia,AR,2020-07-08 14:30:08,-54.8,-68.3,42.8,85,75,6.93
72,Quesnel,CA,2020-07-08 14:32:03,53.0,-122.5,51.8,87,90,0.94
73,Potosi,BO,2020-07-08 14:32:03,-19.58,-65.75,46.58,26,0,27.0
74,Port Alfred,ZA,2020-07-08 14:30:08,-33.59,26.89,66.0,82,0,5.99
75,Faanui,PF,2020-07-08 14:30:00,-16.48,-151.75,77.25,81,66,27.36
76,Hit,IQ,2020-07-08 14:32:04,33.64,42.83,113.22,8,13,14.12
77,Mahebourg,MU,2020-07-08 14:30:29,-20.41,57.7,71.6,78,75,13.87
78,Mahasamund,IN,2020-07-08 14:32:04,21.1,82.1,86.0,74,75,5.82
79,Neftegorsk,RU,2020-07-08 14:32:04,52.8,51.17,84.61,58,0,8.14
80,Klaksvik,FO,2020-07-08 14:30:42,62.23,-6.59,51.8,81,52,10.29
81,Stalpu,RO,2020-07-08 14:32:04,45.08,26.72,77.0,38,40,4.7
82,Bethel,US,2020-07-08 14:30:06,41.37,-73.41,75.99,88,90,5.82
83,Hereford,GB,2020-07-08 14:32:05,52.06,-2.71,66.0,84,99,2.82
84,Aguadas,CO,2020-07-08 14:32:05,5.61,-75.46,62.6,88,40,5.82
85,Rocha,UY,2020-07-08 14:32:05,-34.48,-54.33,48.58,90,100,10.94
86,Butaritari,KI,2020-07-08 14:30:12,3.07,172.79,82.8,75,35,16.31
87,Zyryanka,RU,2020-07-08 14:32:05,65.75,150.85,54.86,90,100,9.69
88,Isangel,VU,2020-07-08 14:31:06,-19.55,169.27,69.73,82,37,13.73
89,Albany,US,2020-07-08 14:30:10,42.6,-73.97,80.01,80,88,1.01
90,Tautira,PF,2020-07-08 14:30:45,-17.73,-149.15,75.2,78,40,2.24
91,Auki,SB,2020-07-08 14:30:22,-8.77,160.7,78.64,81,32,4.59
92,Ohringen,DE,2020-07-08 14:32:05,49.2,9.5,75.0,52,95,3.36
93,Henties Bay,NA,2020-07-08 14:32:06,-22.12,14.28,71.33,32,0,9.33
94,Boa Vista,BR,2020-07-08 14:32:06,2.82,-60.67,82.4,74,40,4.7
95,Bredasdorp,ZA,2020-07-08 14:30:22,-34.53,20.04,71.6,37,0,3.36
96,Chimala,TZ,2020-07-08 14:32:06,-8.85,34.02,77.49,36,1,10.8
97,Lorengau,PG,2020-07-08 14:30:27,-2.02,147.27,81.63,82,70,10.69
98,Batsfjord,NO,2020-07-08 14:31:09,70.63,29.72,50.0,93,75,5.82
99,Samarai,PG,2020-07-08 14:31:05,-10.62,150.67,78.3,87,82,18.14
100,Gubkinskiy,RU,2020-07-08 14:32:06,64.43,76.5,65.91,56,24,14.74
101,Talnakh,RU,2020-07-08 14:30:34,69.49,88.4,57.2,54,0,31.32
102,Saldanha,ZA,2020-07-08 14:30:41,-33.01,17.94,73.4,23,10,2.24
103,Kodiak,US,2020-07-08 14:30:08,57.79,-152.41,57.2,67,1,5.82
104,Riyadh,SA,2020-07-08 14:32:07,24.69,46.72,111.2,9,49,9.17
105,Qaanaaq,GL,2020-07-08 14:26:57,77.48,-69.36,46.67,54,0,7.96
106,Puerto Ayora,EC,2020-07-08 14:30:24,-0.74,-90.35,68.0,96,90,10.85
107,Kahului,US,2020-07-08 14:30:57,20.89,-156.47,75.0,82,6,5.99
108,Pavlohrad,UA,2020-07-08 14:32:07,48.52,35.87,68.0,68,75,15.66
109,Avarua,CK,2020-07-08 14:30:06,-21.21,-159.78,71.6,68,99,11.41
110,Pangnirtung,CA,2020-07-08 14:32:07,66.15,-65.71,44.6,87,75,10.29
111,Mahajanga,MG,2020-07-08 14:32:07,-15.72,46.32,91.4,38,20,9.17
112,Bengkulu,ID,2020-07-08 14:30:26,-3.8,102.27,76.44,88,100,5.28
113,Strezhevoy,RU,2020-07-08 14:32:08,60.73,77.59,82.4,54,20,6.71
114,Saint-Philippe,RE,2020-07-08 14:30:08,-21.36,55.77,71.6,73,90,19.46
115,Nikolskoye,RU,2020-07-08 14:30:06,59.7,30.79,66.2,52,75,6.71
116,Saint George,US,2020-07-08 14:27:10,37.1,-113.58,80.01,16,1,4.7
117,Dunedin,NZ,2020-07-08 14:29:58,-45.87,170.5,41.0,89,91,7.0
118,Tazovskiy,RU,2020-07-08 14:32:04,67.47,78.7,55.74,67,18,17.9
119,Las Lomas,PA,2020-07-08 14:32:08,8.43,-82.4,82.4,78,40,4.7
120,Morros,BR,2020-07-08 14:32:08,-9.45,-46.3,87.37,30,0,7.99
121,Anito,PH,2020-07-08 14:32:08,12.45,125.29,80.58,80,46,2.66
122,Tooele,US,2020-07-08 14:32:08,40.53,-112.3,70.0,52,1,3.69
123,Vardo,NO,2020-07-08 14:32:09,70.37,31.11,50.0,87,87,17.22
124,Cape Town,ZA,2020-07-08 14:30:10,-33.93,18.42,73.4,20,38,4.7
125,Alofi,NU,2020-07-08 14:28:19,-19.06,-169.92,64.4,100,0,1.12
126,Suzhou,CN,2020-07-08 14:32:09,31.31,120.62,78.01,94,48,4.88
127,Two Rivers,US,2020-07-08 14:32:09,44.15,-87.57,75.99,83,1,5.82
128,Boden,SE,2020-07-08 14:32:09,65.83,21.69,60.8,72,50,8.05
129,Cabo San Lucas,MX,2020-07-08 14:28:09,22.89,-109.91,84.0,48,20,7.67
130,Kamakwie,SL,2020-07-08 14:32:09,9.5,-12.23,85.59,69,99,4.21
131,Leh,IN,2020-07-08 14:32:09,34.17,77.58,66.18,31,84,6.53
132,Hithadhoo,MV,2020-07-08 14:30:03,-0.6,73.08,85.5,69,67,4.92
133,La Ronge,CA,2020-07-08 14:32:10,55.1,-105.28,62.6,59,90,14.99
134,Petatlan,MX,2020-07-08 14:32:10,17.52,-101.27,75.2,100,90,2.24
135,Sorland,NO,2020-07-08 14:32:10,67.67,12.69,53.6,71,40,10.29
136,Bouna,CI,2020-07-08 14:32:10,9.27,-3.0,84.36,61,91,7.99
137,Lebu,CL,2020-07-08 14:30:19,-37.62,-73.65,49.44,75,60,6.62
138,Santa Cruz,BO,2020-07-08 14:29:07,-17.8,-63.17,51.8,76,90,17.22
139,Portland,US,2020-07-08 14:29:18,45.52,-122.68,61.0,77,90,3.36
140,Hofn,IS,2020-07-08 14:30:19,64.25,-15.21,52.36,71,0,8.43
141,Masakin,TN,2020-07-08 14:32:10,35.73,10.58,84.2,51,0,13.87
142,Mozarlandia,BR,2020-07-08 14:32:10,-14.74,-50.57,87.73,29,1,6.22
143,Narsaq,GL,2020-07-08 14:30:25,60.92,-46.05,50.0,71,75,6.93
144,Pascagoula,US,2020-07-08 14:32:11,30.37,-88.56,84.99,83,75,4.7
145,Severnyy,RU,2020-07-08 14:32:11,50.68,36.55,68.0,82,75,11.18
146,Kieta,PG,2020-07-08 14:32:11,-6.22,155.63,78.8,77,100,4.68
147,Namibe,AO,2020-07-08 14:30:31,-15.2,12.15,78.8,65,40,12.75
148,Souillac,MU,2020-07-08 14:30:47,-20.52,57.52,71.6,78,75,13.87
149,Kloulklubed,PW,2020-07-08 14:30:27,7.04,134.26,77.0,94,75,4.7
150,Pechenga,RU,2020-07-08 14:32:11,69.53,31.17,53.6,87,40,13.87
151,Iqaluit,CA,2020-07-08 14:30:39,63.75,-68.51,44.6,87,75,4.7
152,Sitka,US,2020-07-08 14:30:42,57.05,-135.33,55.4,82,90,1.36
153,Ginir,ET,2020-07-08 14:32:12,7.13,40.7,66.36,78,72,7.81
154,Keetmanshoop,NA,2020-07-08 14:32:12,-26.58,18.13,77.0,12,0,18.34
155,Yamada,JP,2020-07-08 14:32:12,39.47,141.95,67.21,87,100,5.26
156,Umuarama,BR,2020-07-08 14:32:12,-23.77,-53.33,58.46,93,100,8.79
157,Kiama,AU,2020-07-08 14:32:12,-34.68,150.87,53.01,79,19,1.01
158,Port Elizabeth,ZA,2020-07-08 14:30:12,-33.92,25.57,66.2,48,20,9.17
159,Ribeira Grande,PT,2020-07-08 14:30:02,38.52,-28.7,71.6,78,75,13.87
160,Vuktyl,RU,2020-07-08 14:32:12,63.86,57.31,83.34,55,65,4.41
161,Nouadhibou,MR,2020-07-08 14:32:12,20.93,-17.03,71.6,88,75,26.4
162,Yerbogachen,RU,2020-07-08 14:26:57,61.28,108.01,56.23,91,59,3.0
163,Arraial Do Cabo,BR,2020-07-08 14:30:20,-22.97,-42.03,82.4,54,97,12.75
164,Sechura,PE,2020-07-08 14:32:13,-5.56,-80.82,67.32,71,92,12.06
165,Yulara,AU,2020-07-08 14:30:51,-25.24,130.99,51.8,37,67,4.7
166,Walvis Bay,NA,2020-07-08 14:32:13,-22.96,14.51,73.4,40,0,6.93
167,Edgewater,US,2020-07-08 14:32:13,28.99,-80.9,80.6,94,75,5.82
168,Clyde River,CA,2020-07-08 14:31:06,70.47,-68.59,37.4,100,90,11.41
169,Blagoyevo,RU,2020-07-08 14:32:13,63.37,47.92,80.58,58,24,11.32
170,Juneau,US,2020-07-08 14:26:10,58.3,-134.42,55.0,93,90,3.36
171,San Rafael,AR,2020-07-08 14:31:57,-34.62,-68.33,44.87,59,69,18.23
172,Dwarka,IN,2020-07-08 14:32:13,22.24,68.97,83.59,83,71,18.21
173,Ilhabela,BR,2020-07-08 14:32:14,-23.78,-45.36,81.88,47,4,6.29
174,Buchanan,LR,2020-07-08 14:32:14,5.88,-10.05,79.18,84,94,13.2
175,Jalu,LY,2020-07-08 14:29:47,29.03,21.55,95.49,25,0,12.64
176,Ust-Nera,RU,2020-07-08 14:32:14,64.57,143.2,51.93,59,11,3.44
177,Kabanjahe,ID,2020-07-08 14:32:14,3.1,98.49,78.8,88,40,5.82
178,Fortuna,US,2020-07-08 14:30:13,40.6,-124.16,55.99,93,90,3.36
179,Tateyama,JP,2020-07-08 14:31:02,34.98,139.87,75.99,95,100,4.0
180,Labuhan,ID,2020-07-08 14:32:14,-6.88,112.21,77.23,82,4,6.69
181,Nan,TH,2020-07-08 14:32:14,18.83,100.67,75.47,94,100,1.86
182,Khor,RU,2020-07-08 14:32:15,47.89,134.95,56.52,96,100,2.04
183,Plouzane,FR,2020-07-08 14:32:15,48.38,-4.62,69.8,77,90,9.17
184,Imbituba,BR,2020-07-08 14:32:15,-28.24,-48.67,64.4,100,75,9.17
185,Barra Patuca,HN,2020-07-08 14:32:15,15.8,-84.28,83.03,81,79,8.93
186,Taoudenni,ML,2020-07-08 14:30:14,22.68,-3.98,115.32,5,0,19.06
187,Coihaique,CL,2020-07-08 14:27:47,-45.58,-72.07,37.4,86,40,5.82
188,Pisco,PE,2020-07-08 14:30:40,-13.7,-76.22,63.0,77,90,8.05
189,Lompoc,US,2020-07-08 14:30:14,34.64,-120.46,53.6,93,0,5.82
190,Ballina,AU,2020-07-08 14:30:59,-28.87,153.57,57.2,93,90,5.82
191,Ahipara,NZ,2020-07-08 14:32:15,-35.17,173.17,53.35,69,17,18.61
192,Longyearbyen,SJ,2020-07-08 14:30:09,78.22,15.64,48.2,70,75,5.82
193,Isabela,PH,2020-07-08 14:32:16,6.71,121.97,78.71,82,100,3.94
194,Petropavlovsk-Kamchatskiy,RU,2020-07-08 14:30:44,53.05,158.65,51.8,100,75,6.71
195,Codrington,AU,2020-07-08 14:31:03,-38.27,141.97,43.45,90,3,6.4
196,Winnemucca,US,2020-07-08 14:32:16,40.97,-117.74,60.8,36,1,5.82
197,Sungaipenuh,ID,2020-07-08 14:32:16,-2.08,101.38,65.39,96,100,0.98
198,Ondangwa,NA,2020-07-08 14:32:16,-17.92,15.95,79.38,15,0,7.85
199,Saint-Joseph,RE,2020-07-08 14:32:16,-21.37,55.62,71.6,73,90,19.46
200,Sioux Lookout,CA,2020-07-08 14:30:21,50.1,-91.92,71.6,68,75,5.82
201,Buala,SB,2020-07-08 14:32:16,-8.14,159.59,80.64,77,81,5.35
202,Nehe,CN,2020-07-08 14:32:17,48.48,124.83,62.85,69,0,2.8
203,Georgetown,MY,2020-07-08 14:27:24,5.41,100.34,80.6,94,40,4.7
204,Svetlogorsk,BY,2020-07-08 14:32:17,52.63,29.73,66.7,59,28,10.94
205,Montemor-O-Novo,PT,2020-07-08 14:32:17,38.65,-8.21,88.0,37,0,12.75
206,Katsuura,JP,2020-07-08 14:30:32,35.13,140.3,78.01,95,99,4.0
207,Ancud,CL,2020-07-08 14:30:32,-41.87,-73.82,43.0,93,40,4.7
208,Kisesa,TZ,2020-07-08 14:32:17,-3.08,34.15,82.24,31,51,10.47
209,Wajima,JP,2020-07-08 14:32:17,37.4,136.9,70.86,90,68,3.22
210,Chokurdakh,RU,2020-07-08 14:30:03,70.63,147.92,43.81,81,88,9.15
211,Ames,US,2020-07-08 14:28:38,42.03,-93.62,84.2,74,1,9.17
212,Ahuimanu,US,2020-07-08 14:32:18,21.44,-157.84,77.0,65,20,10.29
213,Arlit,NE,2020-07-08 14:32:18,18.74,7.39,103.46,17,50,8.88
214,Viedma,AR,2020-07-08 14:30:33,-40.81,-63.0,41.63,87,100,14.85
215,Gull Lake,CA,2020-07-08 14:32:18,50.1,-108.48,55.4,82,90,25.28
216,Sao Jose Da Coroa Grande,BR,2020-07-08 14:30:39,-8.9,-35.15,80.26,71,31,3.36
217,Batamshinskiy,KZ,2020-07-08 14:32:18,50.56,58.27,87.8,29,75,20.13
218,Bambanglipuro,ID,2020-07-08 14:30:37,-7.95,110.28,76.1,86,8,7.25
